id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21283955,Wool house,153993699,Astrid,,La Florida,-33.52511,-70.52568,Private room,91695,1,0,,,1,179,0,
21289507,Espectacular azotea frente a Palacio de la Moneda,10381147,Paloma,,Santiago,-33.44734,-70.65358,Entire home/apt,43705,2,164,2022-09-16,2.74,4,142,42,
21297342,New & Full Electric Forestal Park KingBed 55TV 259,87385288,Felipe & Oliver,,Santiago,-33.43338,-70.64722,Entire home/apt,35419,2,155,2022-09-09,2.58,10,145,38,
21306188,"Amazing room Providencia, 32''TV HBO/Prime/Netflix",49858184,Julio,,Providencia,-33.431068,-70.632393,Private room,29969,3,37,2022-09-06,0.67,2,139,20,
21307754,Excellent homestudio at Providencia S,45457910,Alfonso,,Providencia,-33.42757,-70.61791,Entire home/apt,44912,30,83,2021-07-03,1.39,2,365,0,
21312392,"Premium Apart next to  Arauco Mall, las condes",152758429,Paula,,Las Condes,-33.40088,-70.57066,Entire home/apt,85000,2,41,2022-07-17,0.68,10,348,8,
21324191,Habitación c/baño privado en Dpto. Santiago Centro,154359941,Eric,,Santiago,-33.4478874206543,-70.63872528076172,Private room,14000,5,30,2022-06-21,0.50,3,0,14,
21342803,Departamento bien ubicado y hermoso .,154471403,Andres,,Quinta Normal,-33.42483,-70.6851,Private room,25000,1,0,,,1,363,0,
21353745,Departamento Vacacional,47349449,Rodrigo,,Santiago,-33.43733,-70.64744,Private room,42105,2,0,,,1,0,0,
21355612,habitacion acogedora,154571509,Ximena,,Las Condes,-33.41855,-70.55777,Private room,28000,3,0,,,2,365,0,
21356196,"habitacion privada para una estadia especial,",154571509,Ximena,,Las Condes,-33.41798,-70.55659,Hotel room,28000,6,0,,,2,180,0,
21379681,"BELLO, en el mejor BARRIO y con GASTOS incluidos!!",154734895,Leyla,,Providencia,-33.42687,-70.61537,Entire home/apt,35000,5,18,2022-09-16,0.31,1,274,6,
21379937,Acogedor y buena ubicación en Santiago Centro,117459324,Sebastián,,Santiago,-33.44929,-70.66314,Private room,10000,2,38,2020-03-13,0.63,1,0,0,
21381032,Hermoso y comodo departamento,149548072,Aldo,,Estación Central,-33.45601,-70.68958,Entire home/apt,33286,2,1,2017-10-21,0.02,1,87,0,
21381344,"Apart bellavista, Santiago.",154860458,Camilo,,Recoleta,-33.43212,-70.6416,Private room,30000,1,0,,,1,364,0,
21383093,Moderno y maravilloso departamento 6 pax,85863413,Ivannia,,Las Condes,-33.40637,-70.57497,Entire home/apt,80000,14,8,2022-08-03,0.63,5,157,7,
21389481,Hermoso Departamento barrio el Golf,154938209,Damaris,,Las Condes,-33.41698,-70.59194,Entire home/apt,40000,3,4,2021-11-14,0.07,1,53,1,
21390502,Muy Céntrico y al lado del Metro U. De Chile,99776850,Carol,,Santiago,-33.44558,-70.65198,Entire home/apt,33000,2,71,2022-09-10,1.19,2,334,15,
21398467,Kennedy Suite - Parque Arauco,4014270,Octavio,,Vitacura,-33.40015,-70.57764,Entire home/apt,90000,3,14,2020-12-18,0.25,1,296,0,
